Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
6.802645802497863770e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.917899999999999849e+01,3.108500000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.902689671516418457e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.932600000000000051e+01,3.132900000000000063e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.002715277671813965e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.927700000000000102e+01,3.128099999999999881e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.102763390541076660e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.932600000000000051e+01,3.137800000000000011e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.202780032157897949e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.937399999999999878e+01,3.157400000000000162e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.302803063392639160e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.937399999999999878e+01,3.152499999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.402828145027160645e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.932600000000000051e+01,3.137800000000000011e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.502838659286499023e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.947200000000000131e+01,3.176899999999999835e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.602854919433593750e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.937399999999999878e+01,3.147599999999999909e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.702911806106567383e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.927700000000000102e+01,3.162300000000000111e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.802972936630249023e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.937399999999999878e+01,3.186700000000000088e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.903024816513061523e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.952100000000000080e+01,3.181800000000000139e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.003055477142333984e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.947200000000000131e+01,3.181800000000000139e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.103079366683959961e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.961899999999999977e+01,3.186700000000000088e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.203113102912902832e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.942299999999999827e+01,3.191600000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.303158545494079590e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.957000000000000028e+01,3.186700000000000088e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.403169798851013184e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.942299999999999827e+01,3.211099999999999710e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.503220248222351074e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.952100000000000080e+01,3.220900000000000318e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.603279256820678711e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.981400000000000006e+01,3.215999999999999659e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.703316092491149902e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.966799999999999926e+01,3.220900000000000318e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.803359985351562500e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.966799999999999926e+01,3.211099999999999710e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.903386497497558594e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.971699999999999875e+01,3.215999999999999659e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.003416013717651367e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.981400000000000006e+01,3.230700000000000216e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.103422141075134277e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.981400000000000006e+01,3.230700000000000216e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.203429508209228516e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.986299999999999955e+01,3.245400000000000063e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.303498554229736328e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.976500000000000057e+01,3.235600000000000165e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.403571271896362305e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.981400000000000006e+01,3.245400000000000063e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.503602600097656250e+01,0.000000000000000000e+00,3.000000000000000000e+01,3.005900000000000105e+01,3.255100000000000193e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.603653526306152344e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.991199999999999903e+01,3.250200000000000244e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.703730559349060059e+01,0.000000000000000000e+00,3.000000000000000000e+01,3.005900000000000105e+01,3.269800000000000040e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.803788352012634277e+01,0.000000000000000000e+00,3.000000000000000000e+01,3.005900000000000105e+01,3.260000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
