Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
4.310763978958129883e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.284499999999999886e+01,3.206300000000000239e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.410808038711547852e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.303999999999999915e+01,3.196499999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.510977411270141602e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.303999999999999915e+01,3.220900000000000318e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.611082291603088379e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.333299999999999841e+01,3.230700000000000216e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.711180996894836426e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.323599999999999710e+01,3.230700000000000216e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.811253714561462402e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.338199999999999790e+01,3.240500000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.911359572410583496e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.338199999999999790e+01,3.245400000000000063e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.011569523811340332e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.377300000000000324e+01,3.245400000000000063e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.111709952354431152e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.372399999999999665e+01,3.274699999999999989e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.211832189559936523e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.377300000000000324e+01,3.279599999999999937e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.311847472190856934e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.396900000000000119e+01,3.274699999999999989e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.412000894546508789e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.416400000000000148e+01,3.284499999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.512054133415222168e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.406600000000000250e+01,3.274699999999999989e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.612141704559326172e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.431099999999999994e+01,3.294200000000000017e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.712261915206909180e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.450600000000000023e+01,3.313799999999999812e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.812415218353271484e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.445700000000000074e+01,3.303999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.912522172927856445e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.445700000000000074e+01,3.303999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.012573313713073730e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.470199999999999818e+01,3.294200000000000017e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.112724566459655762e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.494599999999999795e+01,3.323599999999999710e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.212819623947143555e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.514200000000000301e+01,3.333299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.312952089309692383e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.494599999999999795e+01,3.347999999999999687e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.413028478622436523e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.519100000000000250e+01,3.362700000000000244e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.513157701492309570e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.533700000000000330e+01,3.352900000000000347e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.613293957710266113e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.538600000000000279e+01,3.357800000000000296e+01,2.300000000000000000e+01,2.300000000000000000e+01
