Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
1.750615358352661133e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.665699999999999648e+01,3.118299999999999983e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.760617532730102539e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.665699999999999648e+01,3.113400000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.770618596076965332e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.670600000000000307e+01,3.118299999999999983e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.780623111724853516e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.670600000000000307e+01,3.132900000000000063e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.790628623962402344e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.670600000000000307e+01,3.132900000000000063e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.800630891323089600e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.675500000000000256e+01,3.137800000000000011e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.810635533332824707e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.680400000000000205e+01,3.123199999999999932e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.820636954307556152e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.675500000000000256e+01,3.132900000000000063e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.830642652511596680e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.675500000000000256e+01,3.137800000000000011e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.840644214153289795e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.685199999999999676e+01,3.128099999999999881e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.850649318695068359e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.680400000000000205e+01,3.137800000000000011e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.860650351047515869e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.680400000000000205e+01,3.128099999999999881e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.870651378631591797e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.680400000000000205e+01,3.132900000000000063e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.880653045177459717e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.690100000000000335e+01,3.147599999999999909e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.890657961368560791e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.690100000000000335e+01,3.147599999999999909e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.900663928985595703e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.680400000000000205e+01,3.167200000000000060e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.910665824413299561e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.690100000000000335e+01,3.162300000000000111e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.920667922496795654e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.680400000000000205e+01,3.157400000000000162e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.930670182704925537e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.699900000000000233e+01,3.167200000000000060e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.940674695968627930e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.709700000000000131e+01,3.157400000000000162e+01,2.300000000000000000e+01,2.300000000000000000e+01
