Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
2.361394374370574951e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.929599999999999937e+01,4.032300000000000040e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.371404387950897217e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.939399999999999835e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.381502246856689453e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.929599999999999937e+01,4.032300000000000040e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.391513173580169678e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.924699999999999989e+01,4.017600000000000193e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.401602668762207031e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.924699999999999989e+01,4.027400000000000091e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.411612274646759033e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.042000000000000171e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.421621201038360596e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.919800000000000040e+01,4.022500000000000142e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.431627492904663086e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.919800000000000040e+01,4.027400000000000091e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.441670973300933838e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.451694056987762451e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.461769928932189941e+02,0.000000000000000000e+00,3.399999999999891998e+01,3.910099999999999909e+01,3.993200000000000216e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.471777493953704834e+02,0.000000000000000000e+00,1.000000000000156319e+01,3.934499999999999886e+01,3.997999999999999687e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.481796944141387939e+02,0.000000000000000000e+00,1.000000000000156319e+01,3.919800000000000040e+01,3.997999999999999687e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.491828289031982422e+02,0.000000000000000000e+00,8.299999999999840838e+01,3.914999999999999858e+01,3.983400000000000318e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.501860921382904053e+02,0.000000000000000000e+00,5.849999999999866418e+01,3.924699999999999989e+01,3.988300000000000267e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.511965477466583252e+02,0.000000000000000000e+00,5.849999999999866418e+01,3.929599999999999937e+01,3.988300000000000267e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.522048456668853760e+02,0.000000000000000000e+00,8.299999999999840838e+01,3.919800000000000040e+01,3.983400000000000318e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.532072393894195557e+02,0.000000000000000000e+00,1.000000000000156319e+01,3.924699999999999989e+01,3.997999999999999687e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.542169837951660156e+02,0.000000000000000000e+00,1.000000000000156319e+01,3.924699999999999989e+01,3.997999999999999687e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.552173900604248047e+02,0.000000000000000000e+00,3.399999999999891998e+01,3.910099999999999909e+01,3.993200000000000216e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.562211859226226807e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.002900000000000347e+01,4.000000000000000000e+01,4.000000000000000000e+01
